,online_order,book_table,rate,votes,location,restrofacility,cuisines,cost for two,restro type,outlet location
659,1,0,3.4,22,other,Quick Bites,South Indian,200,Dine-out,Banashankari
660,1,0,3.9,57,other,Quick Bites,other,200,Dine-out,Banashankari
661,0,0,3.8,189,other,Quick Bites,South Indian,300,Dine-out,Banashankari
662,0,0,3.7,22,other,Quick Bites,Fast Food,500,Dine-out,Banashankari
663,1,0,3.6,18,other,Quick Bites,other,250,Dine-out,Banashankari
664,1,0,3.7,73,other,Quick Bites,other,400,Dine-out,Banashankari
665,0,0,3.8,39,other,Quick Bites,other,350,Dine-out,Banashankari
666,1,0,3.9,540,other,Quick Bites,other,800,Dine-out,Banashankari
667,0,0,3.6,71,other,Quick Bites,"North Indian, South Indian",250,Dine-out,Banashankari
668,1,0,3.6,24,other,Quick Bites,other,250,Dine-out,Banashankari
669,0,0,0.0,0,other,Quick Bites,other,100,Dine-out,Banashankari
670,0,0,3.5,11,other,Quick Bites,other,300,Dine-out,Banashankari
671,0,0,3.4,9,other,Quick Bites,other,350,Dine-out,Banashankari
672,0,0,3.5,12,other,Quick Bites,other,500,Dine-out,Banashankari
673,1,0,3.8,120,other,Quick Bites,other,250,Dine-out,Banashankari
674,1,0,3.0,82,other,Quick Bites,other,300,Dine-out,Banashankari
675,1,0,3.5,88,other,Quick Bites,other,350,Dine-out,Banashankari
676,1,0,0.0,0,other,Quick Bites,other,400,Dine-out,Banashankari
677,1,0,4.0,17,other,Quick Bites,South Indian,150,Dine-out,Banashankari
678,0,0,3.232387726934919,0,other,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out,Banashankari
679,1,0,3.0,87,other,Quick Bites,other,600,Dine-out,Banashankari
680,1,0,3.4,14,other,Quick Bites,South Indian,300,Dine-out,Banashankari
681,0,0,3.5,31,other,Quick Bites,North Indian,200,Dine-out,Banashankari
682,0,0,3.5,17,other,Quick Bites,South Indian,300,Dine-out,Banashankari
683,1,0,4.2,415,other,Quick Bites,other,500,Dine-out,Banashankari
684,1,0,3.3,128,other,Quick Bites,"North Indian, Chinese",300,Dine-out,Banashankari
685,0,0,4.1,94,other,Quick Bites,South Indian,100,Dine-out,Banashankari
686,0,0,3.8,64,other,Quick Bites,other,250,Dine-out,Banashankari
687,0,0,3.7,65,other,Quick Bites,other,300,Dine-out,Banashankari
688,1,0,3.4,7,other,Quick Bites,"North Indian, Chinese",250,Dine-out,Banashankari
689,0,0,3.3,5,other,Quick Bites,South Indian,350,Dine-out,Banashankari
690,0,0,3.5,52,other,Quick Bites,South Indian,300,Dine-out,Banashankari
691,1,0,2.7,123,other,Quick Bites,Fast Food,200,Dine-out,Banashankari
692,1,0,3.0,290,other,Quick Bites,other,450,Dine-out,Banashankari
693,1,0,3.7,59,other,Quick Bites,other,200,Dine-out,Banashankari
694,0,0,3.7,130,other,Quick Bites,South Indian,200,Dine-out,Banashankari
695,1,0,2.8,91,other,Quick Bites,other,400,Dine-out,Banashankari
696,1,0,3.3,12,other,Quick Bites,Biryani,300,Dine-out,Banashankari
697,1,0,3.5,80,other,Quick Bites,other,250,Dine-out,Banashankari
698,1,0,3.9,441,other,Quick Bites,other,400,Dine-out,Banashankari
699,0,0,3.4,10,other,Quick Bites,North Indian,250,Dine-out,Banashankari
700,0,0,3.5,12,other,Quick Bites,other,100,Dine-out,Banashankari
701,0,0,3.4,7,other,Quick Bites,other,100,Dine-out,Banashankari
702,0,0,3.4,8,other,Quick Bites,other,300,Dine-out,Banashankari
703,0,0,0.0,0,other,Quick Bites,North Indian,200,Dine-out,Banashankari
704,0,0,3.2,9,other,Quick Bites,Biryani,300,Dine-out,Banashankari
705,0,0,3.6,47,other,Quick Bites,other,150,Dine-out,Banashankari
706,0,0,3.1,29,other,Quick Bites,North Indian,150,Dine-out,Banashankari
707,0,0,0.0,0,other,Quick Bites,Biryani,250,Dine-out,Banashankari
708,0,0,0.0,0,other,Quick Bites,other,200,Dine-out,Banashankari
709,0,0,0.0,0,other,Quick Bites,South Indian,100,Dine-out,Banashankari
710,0,0,0.0,0,other,Quick Bites,other,150,Dine-out,Banashankari
711,0,0,0.0,0,other,Quick Bites,other,250,Dine-out,Banashankari
712,0,0,0.0,0,other,Quick Bites,South Indian,400,Dine-out,Banashankari
713,1,0,3.8,66,other,Quick Bites,other,300,Dine-out,Banashankari
714,1,0,3.1,28,other,Quick Bites,Biryani,200,Dine-out,Banashankari
715,0,0,3.2,4,other,Quick Bites,Fast Food,200,Dine-out,Banashankari
716,0,0,3.3,7,other,Quick Bites,other,200,Dine-out,Banashankari
717,0,0,3.2,5,other,Quick Bites,"North Indian, South Indian",250,Dine-out,Banashankari
718,0,0,3.1,6,other,Quick Bites,other,100,Dine-out,Banashankari
719,0,0,3.3,17,other,Quick Bites,other,200,Dine-out,Banashankari
720,0,0,3.0,27,other,Quick Bites,other,200,Dine-out,Banashankari
721,0,0,3.1,9,other,Quick Bites,Biryani,200,Dine-out,Banashankari
722,0,0,3.3,4,other,Quick Bites,other,200,Dine-out,Banashankari
723,0,0,0.0,0,other,Quick Bites,South Indian,150,Dine-out,Banashankari
724,0,0,3.232387726934919,0,other,Quick Bites,other,80,Dine-out,Banashankari
725,0,0,3.232387726934919,0,other,Quick Bites,South Indian,150,Dine-out,Banashankari
726,0,0,3.232387726934919,0,other,Quick Bites,North Indian,100,Dine-out,Banashankari
727,0,0,3.7,21,other,Quick Bites,other,150,Dine-out,Banashankari
728,0,0,3.6,22,other,Quick Bites,other,300,Dine-out,Banashankari
729,0,0,3.0,15,other,Quick Bites,"North Indian, Chinese",300,Dine-out,Banashankari
730,0,0,0.0,0,other,other,other,350,Dine-out,Banashankari
731,0,0,0.0,0,other,Quick Bites,South Indian,250,Dine-out,Banashankari
732,0,0,0.0,0,other,Quick Bites,other,300,Dine-out,Banashankari
733,0,0,0.0,0,other,Quick Bites,"Chinese, North Indian",450,Dine-out,Banashankari
734,0,0,3.232387726934919,0,other,Quick Bites,other,300,Dine-out,Banashankari
735,0,0,3.232387726934919,0,other,Quick Bites,other,150,Dine-out,Banashankari
736,1,0,0.0,0,other,Quick Bites,South Indian,200,Dine-out,Banashankari
737,1,0,3.4,19,other,Quick Bites,"South Indian, North Indian",200,Dine-out,Banashankari
738,1,0,3.4,8,other,other,other,250,Dine-out,Banashankari
739,1,0,3.6,84,other,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Banashankari
740,0,0,4.0,42,other,Quick Bites,other,300,Dine-out,Banashankari
741,0,0,3.232387726934919,0,other,Quick Bites,Fast Food,100,Dine-out,Banashankari
742,1,0,3.0,213,other,Quick Bites,other,400,Dine-out,Banashankari
743,1,0,2.9,11,other,Quick Bites,North Indian,500,Dine-out,Banashankari
744,1,0,3.8,58,other,Quick Bites,other,300,Dine-out,Banashankari
745,0,0,4.2,725,Jayanagar,Quick Bites,other,350,Dine-out,Banashankari
746,1,0,3.9,750,other,Casual Dining,other,500,Dine-out,Banashankari
747,0,0,3.8,166,other,Casual Dining,other,600,Dine-out,Banashankari
748,0,0,4.4,4460,other,Quick Bites,South Indian,150,Dine-out,Banashankari
749,0,0,3.9,153,other,Casual Dining,South Indian,350,Dine-out,Banashankari
750,1,0,3.8,469,other,Casual Dining,other,750,Dine-out,Banashankari
751,1,0,4.1,364,other,Casual Dining,other,550,Dine-out,Banashankari
752,1,0,3.8,286,other,Casual Dining,North Indian,600,Dine-out,Banashankari
753,1,0,3.8,527,other,Casual Dining,North Indian,500,Dine-out,Banashankari
754,1,0,3.9,101,other,Quick Bites,South Indian,150,Dine-out,Banashankari
755,1,0,4.1,558,other,Quick Bites,South Indian,150,Dine-out,Banashankari
756,0,0,3.8,94,other,Casual Dining,"North Indian, Chinese",550,Dine-out,Banashankari
757,0,0,3.8,148,other,other,other,550,Dine-out,Banashankari
758,0,0,2.7,377,other,other,other,1100,Dine-out,Banashankari
759,0,0,3.9,206,other,Quick Bites,other,450,Dine-out,Banashankari
760,1,0,3.3,5,other,"Casual Dining, Bar",other,800,Dine-out,Banashankari
761,0,0,3.9,100,other,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Banashankari
762,1,0,4.2,444,other,Quick Bites,South Indian,100,Dine-out,Banashankari
763,0,0,3.9,133,other,Casual Dining,other,650,Dine-out,Banashankari
764,1,0,4.0,219,other,Cafe,other,600,Dine-out,Banashankari
765,0,0,4.2,253,other,Quick Bites,South Indian,250,Dine-out,Banashankari
766,0,0,3.4,51,other,Quick Bites,other,350,Dine-out,Banashankari
767,0,0,3.7,61,other,Casual Dining,other,600,Dine-out,Banashankari
768,1,0,3.8,155,other,Casual Dining,other,400,Dine-out,Banashankari
769,1,0,3.9,233,Jayanagar,Casual Dining,other,800,Dine-out,Banashankari
770,1,0,3.7,264,other,Casual Dining,other,750,Dine-out,Banashankari
771,0,0,3.9,66,other,Casual Dining,South Indian,400,Dine-out,Banashankari
772,0,0,4.1,238,other,Quick Bites,South Indian,600,Dine-out,Banashankari
773,1,0,3.8,58,other,Quick Bites,Chinese,150,Dine-out,Banashankari
774,1,0,3.9,47,other,Quick Bites,South Indian,200,Dine-out,Banashankari
775,1,0,3.5,155,other,Quick Bites,other,400,Dine-out,Banashankari
776,1,0,4.1,176,other,Casual Dining,other,800,Dine-out,Banashankari
777,1,0,3.7,93,other,Quick Bites,other,200,Dine-out,Banashankari
778,0,0,3.8,124,other,Quick Bites,other,300,Dine-out,Banashankari
779,1,0,4.3,275,other,Quick Bites,South Indian,100,Dine-out,Banashankari
780,0,0,4.2,254,other,Quick Bites,South Indian,150,Dine-out,Banashankari
781,0,0,4.1,177,other,Quick Bites,South Indian,100,Dine-out,Banashankari
782,1,0,3.7,23,Jayanagar,Quick Bites,other,300,Dine-out,Banashankari
783,1,0,4.0,132,other,Quick Bites,Fast Food,200,Dine-out,Banashankari
784,1,0,3.6,35,Jayanagar,Quick Bites,other,300,Dine-out,Banashankari
785,1,0,3.8,74,other,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Banashankari
786,1,0,3.9,38,other,Quick Bites,Chinese,200,Dine-out,Banashankari
787,1,0,3.6,172,other,Casual Dining,"North Indian, Chinese",700,Dine-out,Banashankari
788,1,0,3.4,4,other,Casual Dining,other,500,Dine-out,Banashankari
789,1,0,3.9,543,other,Quick Bites,other,300,Dine-out,Banashankari
790,0,0,4.0,52,other,Quick Bites,South Indian,300,Dine-out,Banashankari
791,0,0,3.7,217,other,Casual Dining,other,450,Dine-out,Banashankari
792,0,0,2.9,34,other,Casual Dining,other,750,Dine-out,Banashankari
793,0,0,3.3,6,other,Quick Bites,other,300,Dine-out,Banashankari
794,1,0,3.6,15,other,Quick Bites,South Indian,100,Dine-out,Banashankari
795,0,0,3.9,111,other,Casual Dining,other,700,Dine-out,Banashankari
796,1,0,3.8,133,other,Quick Bites,other,200,Dine-out,Banashankari
797,0,0,3.8,39,Jayanagar,Quick Bites,"South Indian, North Indian",250,Dine-out,Banashankari
798,0,0,4.0,64,other,Quick Bites,South Indian,200,Dine-out,Banashankari
799,0,0,3.6,16,other,Quick Bites,South Indian,300,Dine-out,Banashankari
800,1,0,3.8,25,other,Quick Bites,other,350,Dine-out,Banashankari
801,0,0,3.6,8,other,Casual Dining,other,800,Dine-out,Banashankari
802,0,0,3.3,6,other,Casual Dining,"South Indian, North Indian, Chinese",450,Dine-out,Banashankari
803,0,0,3.2,14,Jayanagar,Quick Bites,South Indian,250,Dine-out,Banashankari
804,0,0,3.6,46,other,Quick Bites,other,450,Dine-out,Banashankari
805,0,0,3.8,148,other,Quick Bites,other,150,Dine-out,Banashankari
806,1,0,3.7,21,other,Quick Bites,South Indian,300,Dine-out,Banashankari
807,0,0,3.232387726934919,0,other,"Casual Dining, Bar","North Indian, South Indian, Chinese",550,Dine-out,Banashankari
808,0,0,3.8,55,other,other,other,300,Dine-out,Banashankari
809,0,0,0.0,0,other,Casual Dining,other,800,Dine-out,Banashankari
810,0,0,0.0,0,other,Casual Dining,North Indian,450,Dine-out,Banashankari
811,1,0,3.7,67,other,Casual Dining,North Indian,700,Dine-out,Banashankari
812,1,0,3.7,31,other,Quick Bites,"South Indian, North Indian",300,Dine-out,Banashankari
813,0,0,3.3,4,Jayanagar,Quick Bites,South Indian,250,Dine-out,Banashankari
814,0,0,3.2,4,other,Quick Bites,other,100,Dine-out,Banashankari
815,0,0,3.9,26,other,Quick Bites,other,300,Dine-out,Banashankari
816,1,0,3.7,57,other,Quick Bites,other,200,Dine-out,Banashankari
817,1,0,3.2,71,other,Quick Bites,other,600,Dine-out,Banashankari
818,1,0,0.0,0,other,Quick Bites,"North Indian, Chinese",300,Dine-out,Banashankari
819,0,0,3.6,22,other,Quick Bites,other,150,Dine-out,Banashankari
820,0,0,3.2,8,other,Quick Bites,Biryani,150,Dine-out,Banashankari
821,0,0,3.232387726934919,0,other,Quick Bites,other,100,Dine-out,Banashankari
822,0,0,0.0,0,other,Quick Bites,"North Indian, South Indian",400,Dine-out,Banashankari
823,0,0,0.0,0,other,Quick Bites,Fast Food,150,Dine-out,Banashankari
824,0,0,0.0,0,other,Quick Bites,"North Indian, Chinese",300,Dine-out,Banashankari
825,0,0,0.0,0,Jayanagar,Quick Bites,other,200,Dine-out,Banashankari
826,1,0,3.2,11,other,Quick Bites,other,150,Dine-out,Banashankari
827,1,0,3.6,17,other,Quick Bites,other,300,Dine-out,Banashankari
828,0,0,3.232387726934919,0,other,Quick Bites,Biryani,160,Dine-out,Banashankari
829,0,0,3.232387726934919,0,other,Quick Bites,"South Indian, North Indian, Chinese",150,Dine-out,Banashankari
830,0,1,3.8,977,other,other,other,1300,Drinks & nightlife,Banashankari
831,0,0,4.1,868,other,other,other,1200,Drinks & nightlife,Banashankari
832,0,0,3.7,43,other,other,"North Indian, Chinese",700,Drinks & nightlife,Banashankari
833,0,0,3.3,62,other,other,"South Indian, North Indian, Chinese",800,Drinks & nightlife,Banashankari
834,0,0,3.1,30,other,other,"Chinese, North Indian",1000,Drinks & nightlife,Banashankari
835,0,0,0.0,0,other,other,other,500,Drinks & nightlife,Banashankari
836,0,0,3.0,98,other,other,"North Indian, Chinese",800,Drinks & nightlife,Banashankari
837,0,0,2.7,377,other,other,other,1100,Drinks & nightlife,Banashankari
838,1,1,4.4,2487,Bannerghatta Road,other,other,900,Buffet,Bannerghatta Road
839,1,1,4.2,1964,Bannerghatta Road,Casual Dining,other,1000,Buffet,Bannerghatta Road
840,1,0,4.3,3178,Bannerghatta Road,Casual Dining,other,750,Buffet,Bannerghatta Road
841,1,0,3.3,455,Bannerghatta Road,Casual Dining,other,550,Buffet,Bannerghatta Road
842,0,0,3.1,19,Bannerghatta Road,Casual Dining,other,800,Buffet,Bannerghatta Road
843,0,1,4.7,3845,JP Nagar,Casual Dining,other,1600,Buffet,Bannerghatta Road
844,0,0,4.3,353,JP Nagar,Casual Dining,"North Indian, South Indian",1200,Buffet,Bannerghatta Road
845,0,1,4.1,1234,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese",800,Buffet,Bannerghatta Road
846,1,1,4.1,1538,JP Nagar,Casual Dining,other,1000,Buffet,Bannerghatta Road
847,0,1,3.9,49,JP Nagar,Casual Dining,other,900,Buffet,Bannerghatta Road
848,1,1,3.8,756,JP Nagar,Casual Dining,North Indian,1000,Buffet,Bannerghatta Road
849,1,1,4.0,347,JP Nagar,Casual Dining,other,1000,Buffet,Bannerghatta Road
850,0,0,3.232387726934919,0,JP Nagar,Cafe,Cafe,600,Buffet,Bannerghatta Road
851,0,1,4.0,165,JP Nagar,Casual Dining,other,1000,Buffet,Bannerghatta Road
852,0,0,3.3,177,JP Nagar,Casual Dining,other,950,Buffet,Bannerghatta Road
853,0,0,2.7,43,JP Nagar,Casual Dining,other,1000,Buffet,Bannerghatta Road
854,1,0,3.0,102,BTM,Casual Dining,"South Indian, North Indian, Chinese",600,Buffet,Bannerghatta Road
855,1,0,3.8,54,Bannerghatta Road,Cafe,other,500,Cafes,Bannerghatta Road
856,0,1,4.0,200,Bannerghatta Road,Cafe,other,700,Cafes,Bannerghatta Road
857,1,0,3.9,102,Bannerghatta Road,Cafe,other,450,Cafes,Bannerghatta Road
858,0,0,3.232387726934919,0,Bannerghatta Road,Cafe,other,600,Cafes,Bannerghatta Road
859,1,0,3.7,171,Bannerghatta Road,Cafe,Cafe,300,Cafes,Bannerghatta Road
860,1,0,3.7,37,Bannerghatta Road,Cafe,other,400,Cafes,Bannerghatta Road
861,1,0,3.9,40,Bannerghatta Road,other,other,400,Cafes,Bannerghatta Road
862,0,0,3.9,125,Bannerghatta Road,Cafe,other,500,Cafes,Bannerghatta Road
863,1,0,3.9,49,Bannerghatta Road,Cafe,Cafe,600,Cafes,Bannerghatta Road
864,0,0,3.6,19,Bannerghatta Road,Cafe,other,900,Cafes,Bannerghatta Road
865,0,0,3.8,69,Bannerghatta Road,other,other,700,Cafes,Bannerghatta Road
866,0,0,3.9,52,Bannerghatta Road,Cafe,other,700,Cafes,Bannerghatta Road
867,1,0,3.6,18,Bannerghatta Road,Dessert Parlor,other,900,Cafes,Bannerghatta Road
868,0,0,3.9,78,Bannerghatta Road,Cafe,Cafe,350,Cafes,Bannerghatta Road
869,0,1,3.6,39,Bannerghatta Road,other,other,800,Cafes,Bannerghatta Road
870,1,0,2.7,48,Bannerghatta Road,other,other,650,Cafes,Bannerghatta Road
871,0,0,3.6,13,Bannerghatta Road,Cafe,Cafe,700,Cafes,Bannerghatta Road
872,0,0,0.0,0,Bannerghatta Road,Cafe,other,400,Cafes,Bannerghatta Road
873,0,0,3.3,14,Bannerghatta Road,other,other,700,Cafes,Bannerghatta Road
874,0,0,3.7,9,Bannerghatta Road,Cafe,other,400,Cafes,Bannerghatta Road
875,0,0,0.0,0,Bannerghatta Road,Delivery,other,300,Cafes,Bannerghatta Road
876,0,0,3.232387726934919,0,Bannerghatta Road,Quick Bites,other,500,Cafes,Bannerghatta Road
877,1,0,4.1,46,JP Nagar,Cafe,other,600,Cafes,Bannerghatta Road
878,0,0,4.0,129,JP Nagar,Cafe,other,600,Cafes,Bannerghatta Road
879,1,0,3.232387726934919,0,JP Nagar,Cafe,other,450,Cafes,Bannerghatta Road
880,1,1,3.9,727,JP Nagar,Cafe,other,800,Cafes,Bannerghatta Road
881,0,0,3.232387726934919,0,JP Nagar,Cafe,Cafe,600,Cafes,Bannerghatta Road
882,0,0,4.1,521,JP Nagar,Cafe,other,550,Cafes,Bannerghatta Road
883,1,0,4.1,203,JP Nagar,other,other,650,Cafes,Bannerghatta Road
884,1,1,4.4,4381,JP Nagar,other,other,600,Cafes,Bannerghatta Road
885,1,0,3.7,131,JP Nagar,Cafe,other,400,Cafes,Bannerghatta Road
886,0,0,3.7,34,JP Nagar,Cafe,other,500,Cafes,Bannerghatta Road
887,1,0,3.7,46,JP Nagar,Cafe,other,450,Cafes,Bannerghatta Road
888,1,0,3.6,10,JP Nagar,Cafe,other,500,Cafes,Bannerghatta Road
889,1,0,2.6,18,JP Nagar,Cafe,other,500,Cafes,Bannerghatta Road
890,0,0,3.4,48,JP Nagar,Cafe,other,550,Cafes,Bannerghatta Road
891,0,0,3.4,6,JP Nagar,Cafe,other,600,Cafes,Bannerghatta Road
892,0,0,0.0,0,JP Nagar,Cafe,Cafe,500,Cafes,Bannerghatta Road
893,0,0,0.0,0,JP Nagar,Quick Bites,other,300,Cafes,Bannerghatta Road
894,1,0,3.7,127,JP Nagar,Cafe,other,700,Cafes,Bannerghatta Road
895,1,0,2.7,85,JP Nagar,Cafe,other,500,Cafes,Bannerghatta Road
896,0,0,3.2,11,BTM,Cafe,other,500,Cafes,Bannerghatta Road
897,1,0,4.5,1178,BTM,Delivery,other,500,Delivery,Bannerghatta Road
898,1,0,3.7,335,BTM,Casual Dining,other,800,Delivery,Bannerghatta Road
899,1,0,3.8,254,BTM,Casual Dining,other,800,Delivery,Bannerghatta Road
900,1,0,3.6,21,Bannerghatta Road,Quick Bites,other,400,Delivery,Bannerghatta Road
901,1,0,3.8,20,JP Nagar,Quick Bites,other,400,Delivery,Bannerghatta Road
902,1,0,4.1,63,JP Nagar,"Takeaway, Delivery",other,300,Delivery,Bannerghatta Road
903,1,0,4.0,244,BTM,Quick Bites,other,400,Delivery,Bannerghatta Road
904,1,0,3.4,9,JP Nagar,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
905,1,0,3.6,113,JP Nagar,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
906,1,0,3.7,5,JP Nagar,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
907,1,0,2.9,255,BTM,Quick Bites,North Indian,250,Delivery,Bannerghatta Road
908,1,0,4.5,549,BTM,Dessert Parlor,other,400,Delivery,Bannerghatta Road
909,1,0,4.1,775,BTM,Quick Bites,other,300,Delivery,Bannerghatta Road
910,1,0,3.9,38,BTM,"Takeaway, Delivery",South Indian,250,Delivery,Bannerghatta Road
911,1,0,3.6,208,JP Nagar,"Takeaway, Delivery",other,300,Delivery,Bannerghatta Road
912,1,0,4.1,739,JP Nagar,Delivery,"Chinese, North Indian",500,Delivery,Bannerghatta Road
913,1,0,3.8,310,Bannerghatta Road,Quick Bites,North Indian,400,Delivery,Bannerghatta Road
914,1,0,3.3,42,BTM,Quick Bites,Fast Food,500,Delivery,Bannerghatta Road
915,1,0,4.0,126,BTM,Quick Bites,North Indian,150,Delivery,Bannerghatta Road
916,1,0,4.1,427,Bannerghatta Road,"Takeaway, Delivery",other,500,Delivery,Bannerghatta Road
917,1,0,4.0,197,BTM,Quick Bites,North Indian,300,Delivery,Bannerghatta Road
918,1,0,4.1,601,BTM,Quick Bites,other,700,Delivery,Bannerghatta Road
919,1,0,3.9,488,JP Nagar,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
920,1,0,4.0,396,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Bannerghatta Road
921,1,0,3.6,474,BTM,Quick Bites,other,450,Delivery,Bannerghatta Road
922,1,0,2.9,172,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Bannerghatta Road
923,1,0,3.1,175,Bannerghatta Road,Quick Bites,other,250,Delivery,Bannerghatta Road
924,1,0,4.0,939,BTM,Casual Dining,other,600,Delivery,Bannerghatta Road
925,1,0,3.9,173,BTM,Quick Bites,other,250,Delivery,Bannerghatta Road
926,1,0,3.9,77,Bannerghatta Road,Quick Bites,North Indian,400,Delivery,Bannerghatta Road
927,1,0,3.9,326,BTM,Cafe,other,200,Delivery,Bannerghatta Road
928,1,0,3.3,212,JP Nagar,Quick Bites,other,350,Delivery,Bannerghatta Road
929,1,0,4.1,464,BTM,Quick Bites,other,300,Delivery,Bannerghatta Road
930,1,0,3.3,628,Bannerghatta Road,Delivery,other,450,Delivery,Bannerghatta Road
931,1,0,3.6,518,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Bannerghatta Road
932,1,0,3.9,70,Bannerghatta Road,Dessert Parlor,Desserts,350,Delivery,Bannerghatta Road
933,1,0,3.9,62,JP Nagar,Quick Bites,other,300,Delivery,Bannerghatta Road
934,1,0,3.232387726934919,0,BTM,Quick Bites,other,200,Delivery,Bannerghatta Road
935,1,0,3.232387726934919,0,BTM,Quick Bites,North Indian,300,Delivery,Bannerghatta Road
936,1,0,4.4,819,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Bannerghatta Road
937,1,0,2.6,171,BTM,Casual Dining,other,450,Delivery,Bannerghatta Road
938,1,0,3.9,158,Bannerghatta Road,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
939,1,0,3.4,14,JP Nagar,"Takeaway, Delivery",North Indian,200,Delivery,Bannerghatta Road
940,1,1,4.2,1964,Bannerghatta Road,Casual Dining,other,1000,Delivery,Bannerghatta Road
941,1,0,3.7,207,BTM,Quick Bites,"Chinese, North Indian",300,Delivery,Bannerghatta Road
942,1,0,4.0,138,Bannerghatta Road,Delivery,Biryani,650,Delivery,Bannerghatta Road
943,1,0,3.3,455,Bannerghatta Road,Casual Dining,other,550,Delivery,Bannerghatta Road
944,1,0,3.9,14,JP Nagar,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
945,1,0,3.4,13,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery,Bannerghatta Road
946,1,0,3.8,181,Bannerghatta Road,other,other,600,Delivery,Bannerghatta Road
947,1,0,3.6,140,Bannerghatta Road,Quick Bites,other,200,Delivery,Bannerghatta Road
948,1,0,3.2,44,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Bannerghatta Road
949,1,0,3.6,43,JP Nagar,Quick Bites,other,300,Delivery,Bannerghatta Road
950,1,0,2.7,159,JP Nagar,Quick Bites,other,750,Delivery,Bannerghatta Road
951,1,0,3.4,76,Bannerghatta Road,Quick Bites,"North Indian, Chinese",450,Delivery,Bannerghatta Road
952,1,0,3.6,16,JP Nagar,other,other,100,Delivery,Bannerghatta Road
953,1,0,3.5,74,Bannerghatta Road,Quick Bites,North Indian,400,Delivery,Bannerghatta Road
954,1,0,3.9,20,BTM,"Takeaway, Delivery",Bakery,200,Delivery,Bannerghatta Road
955,1,0,3.7,9,JP Nagar,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
956,1,0,4.1,51,JP Nagar,"Takeaway, Delivery",other,200,Delivery,Bannerghatta Road
957,1,0,3.5,53,Bannerghatta Road,Quick Bites,"North Indian, Chinese",350,Delivery,Bannerghatta Road
958,1,0,3.1,28,BTM,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
959,1,0,3.2,166,Bannerghatta Road,Quick Bites,other,600,Delivery,Bannerghatta Road
960,1,0,3.9,50,Bannerghatta Road,Quick Bites,other,400,Delivery,Bannerghatta Road
961,1,0,3.7,128,Bannerghatta Road,"Takeaway, Delivery",other,400,Delivery,Bannerghatta Road
962,1,0,0.0,0,JP Nagar,"Takeaway, Delivery",other,200,Delivery,Bannerghatta Road
963,1,0,3.6,8,Bannerghatta Road,"Takeaway, Delivery",other,500,Delivery,Bannerghatta Road
964,1,0,2.9,126,BTM,Quick Bites,"Chinese, North Indian",300,Delivery,Bannerghatta Road
965,1,0,3.4,24,JP Nagar,"Takeaway, Delivery",other,150,Delivery,Bannerghatta Road
966,1,0,4.0,952,Jayanagar,Quick Bites,other,400,Delivery,Bannerghatta Road
967,1,0,3.4,51,other,Quick Bites,other,400,Delivery,Bannerghatta Road
968,1,0,3.8,472,Bannerghatta Road,Quick Bites,other,600,Delivery,Bannerghatta Road
969,1,1,4.0,739,Bannerghatta Road,Casual Dining,other,800,Delivery,Bannerghatta Road
970,1,0,4.0,117,Bannerghatta Road,Casual Dining,"South Indian, North Indian, Chinese",500,Delivery,Bannerghatta Road
971,1,0,3.9,255,BTM,Casual Dining,other,500,Delivery,Bannerghatta Road
972,1,0,4.0,1974,JP Nagar,Casual Dining,other,800,Delivery,Bannerghatta Road
973,1,0,3.7,65,JP Nagar,Quick Bites,other,400,Delivery,Bannerghatta Road
974,1,1,4.2,1428,JP Nagar,Casual Dining,other,800,Delivery,Bannerghatta Road
975,1,0,3.3,39,BTM,other,North Indian,400,Delivery,Bannerghatta Road
976,1,0,3.4,43,Bannerghatta Road,Quick Bites,other,400,Delivery,Bannerghatta Road
977,1,0,3.7,13,JP Nagar,"Takeaway, Delivery","Bakery, Desserts",200,Delivery,Bannerghatta Road
978,1,0,3.6,34,JP Nagar,Quick Bites,other,200,Delivery,Bannerghatta Road
979,1,0,2.9,345,BTM,"Takeaway, Delivery",other,450,Delivery,Bannerghatta Road
980,1,0,3.5,8,BTM,Delivery,"North Indian, Chinese",600,Delivery,Bannerghatta Road
981,1,0,3.8,23,JP Nagar,Quick Bites,other,150,Delivery,Bannerghatta Road
